trading_days,sale_price_to_match_benchmark,lattice_probability,probability_sum,gbm_probability,gbm_expected_scaled_npv,sale_date,observed_sale_price,observed_scaled_npv,observed_beats_benchmark
21,273.4361469946841,0.512433073821522,1.0000000000520026,0.5260164670863434,0.007909415500712846,2026-02-02,266.5831,-0.02506269587984422,false
63,275.72430229175353,0.6171412924184279,0.9999999999538315,0.5449979901083765,0.02391641786679336,2026-04-02,254.6924,-0.0762787397300182,false
126,279.19248706670555,0.6290593997369098,0.999999999981034,0.5635017473868806,0.04840483077716579,2026-07-06,312.0838,0.11780873217206578,true
