date,ticker,price
2026-01-02,AAPL,271.9197
2026-01-05,AAPL,267.9755
2026-01-06,AAPL,263.1381
2026-01-07,AAPL,261.4392
2026-01-08,AAPL,257.4496
2026-01-09,AAPL,258.6804
2026-01-12,AAPL,260.0061
2026-01-13,AAPL,260.3473
2026-01-14,AAPL,259.2335
2026-01-15,AAPL,258.9417
2026-01-16,AAPL,256.2442
2026-01-20,AAPL,248.1492
2026-01-21,AAPL,247.7151
2026-01-22,AAPL,249.2648
2026-01-23,AAPL,247.5598
2026-01-26,AAPL,254.6109
2026-01-27,AAPL,259.6602
2026-01-28,AAPL,256.2135
2026-01-29,AAPL,258.2492
2026-01-30,AAPL,257.6628
2026-02-02,AAPL,266.5831
2026-02-03,AAPL,269.6176
2026-02-04,AAPL,275.9912
2026-02-05,AAPL,275.6181
2026-02-06,AAPL,278.6274
2026-02-09,AAPL,273.8983
2026-02-10,AAPL,273.8929
2026-02-11,AAPL,276.8673
2026-02-12,AAPL,264.268
2026-02-13,AAPL,257.9822
2026-02-17,AAPL,262.4774
2026-02-18,AAPL,264.5654
2026-02-19,AAPL,261.7615
2026-02-20,AAPL,262.8335
2026-02-23,AAPL,266.5747
2026-02-24,AAPL,272.5277
2026-02-25,AAPL,273.7642
2026-02-26,AAPL,272.6741
2026-02-27,AAPL,265.6195
2026-03-02,AAPL,264.4409
2026-03-03,AAPL,263.1124
2026-03-04,AAPL,263.2544
2026-03-05,AAPL,259.8254
2026-03-06,AAPL,257.0768
2026-03-09,AAPL,258.0266
2026-03-10,AAPL,260.7116
2026-03-11,AAPL,260.6671
2026-03-12,AAPL,255.731
2026-03-13,AAPL,251.84
2026-03-16,AAPL,252.7539
2026-03-17,AAPL,254.1579
2026-03-18,AAPL,250.8653
2026-03-19,AAPL,249.1478
2026-03-20,AAPL,248.0109
2026-03-23,AAPL,251.8672
2026-03-24,AAPL,252.1598
2026-03-25,AAPL,253.1358
2026-03-26,AAPL,254.1896
2026-03-27,AAPL,250.9316
2026-03-30,AAPL,246.8526
2026-03-31,AAPL,252.2579
2026-04-01,AAPL,255.0165
2026-04-02,AAPL,254.6924
2026-04-06,AAPL,259.0947
2026-04-07,AAPL,250.8535
2026-04-08,AAPL,258.2686
2026-04-09,AAPL,259.3901
2026-04-10,AAPL,260.4169
2026-04-13,AAPL,258.3498
2026-04-14,AAPL,258.8137
2026-04-15,AAPL,264.1551
2026-04-16,AAPL,263.4178
2026-04-17,AAPL,269.8735
2026-04-20,AAPL,272.6888
2026-04-21,AAPL,267.5828
2026-04-22,AAPL,271.9338
2026-04-23,AAPL,273.5556
2026-04-24,AAPL,270.8895
2026-04-27,AAPL,267.187
2026-04-28,AAPL,270.5517
2026-04-29,AAPL,269.7037
2026-04-30,AAPL,272.4961
2026-05-01,AAPL,282.3707
2026-05-04,AAPL,276.913
2026-05-05,AAPL,282.4091
2026-05-06,AAPL,286.3094
2026-05-07,AAPL,288.7495
2026-05-08,AAPL,293.1208
2026-05-11,AAPL,292.233
2026-05-12,AAPL,294.1897
2026-05-13,AAPL,298.1137
2026-05-14,AAPL,298.2822
2026-05-15,AAPL,300.4335
2026-05-18,AAPL,297.2155
2026-05-19,AAPL,298.3829
2026-05-20,AAPL,301.1324
2026-05-21,AAPL,304.0891
2026-05-22,AAPL,309.1625
2026-05-26,AAPL,309.4794
2026-05-27,AAPL,311.2778
2026-05-28,AAPL,311.5515
2026-05-29,AAPL,311.9766
2026-06-01,AAPL,307.4113
2026-06-02,AAPL,313.1982
2026-06-03,AAPL,311.5277
2026-06-04,AAPL,311.2408
2026-06-05,AAPL,310.4395
2026-06-08,AAPL,307.6395
2026-06-09,AAPL,292.0338
2026-06-10,AAPL,291.412
2026-06-11,AAPL,294.1141
2026-06-12,AAPL,291.6015
2026-06-15,AAPL,296.0109
2026-06-16,AAPL,298.5286
2026-06-17,AAPL,297.1015
2026-06-18,AAPL,298.0656
2026-06-22,AAPL,298.6742
2026-06-23,AAPL,296.8756
2026-06-24,AAPL,294.8559
2026-06-25,AAPL,277.4466
2026-06-26,AAPL,282.3244
2026-06-29,AAPL,282.0733
2026-06-30,AAPL,288.0891
2026-07-01,AAPL,294.0639
2026-07-02,AAPL,306.4468
2026-07-06,AAPL,312.0838
2026-07-07,AAPL,312.2982
2026-07-08,AAPL,312.2125
2026-07-09,AAPL,314.4615
2026-07-10,AAPL,314.7543
2026-07-13,AAPL,318.1536
2026-07-14,AAPL,314.6606
2026-07-15,AAPL,325.8418
2026-07-16,AAPL,331.582
2026-07-17,AAPL,332.6314
2026-07-20,AAPL,326.9784
2026-07-21,AAPL,326.9819
2026-07-22,AAPL,325.4235
2026-07-23,AAPL,321.2284
2026-07-24,AAPL,331.448
2026-07-27,AAPL,336.785
2026-07-28,AAPL,339.2806
2026-07-29,AAPL,340.4854
2026-07-30,AAPL,330.1532
2026-07-31,AAPL,304.5425
2026-08-03,AAPL,305.1311
2026-08-04,AAPL,307.7608
2026-08-05,AAPL,309.5665
2026-08-06,AAPL,312.478
2026-08-07,AAPL,312.937
2026-08-10,AAPL,307.2588
2026-08-11,AAPL,305.6606
2026-08-12,AAPL,302.1523
2026-08-13,AAPL,304.2129
2026-08-14,AAPL,305.7523
2026-08-17,AAPL,305.1237
2026-08-18,AAPL,309.7033
2026-08-19,AAPL,315.8212
2026-08-20,AAPL,314.071
2026-08-21,AAPL,309.7018
2026-08-24,AAPL,311.2999
2026-08-25,AAPL,309.8525
2026-08-26,AAPL,313.235
2026-08-27,AAPL,313.5291
2026-08-28,AAPL,319.5134
2026-08-31,AAPL,316.2299
2026-09-01,AAPL,324.0875
2026-09-02,AAPL,325.2771
2026-09-03,AAPL,328.1567
2026-09-04,AAPL,321.1818
