date,ticker,price
2025-10-31,AAPL,271.3276
2025-11-03,AAPL,268.2996
2025-11-04,AAPL,269.7485
2025-11-05,AAPL,269.8162
2025-11-06,AAPL,270.7137
2025-11-07,AAPL,269.0051
2025-11-10,AAPL,270.0586
2025-11-11,AAPL,274.0648
2025-11-12,AAPL,273.8707
2025-11-13,AAPL,273.3661
2025-11-14,AAPL,273.1083
2025-11-17,AAPL,267.9843
2025-11-18,AAPL,267.725
2025-11-19,AAPL,269.3236
2025-11-20,AAPL,269.4688
2025-11-21,AAPL,270.5143
2025-11-24,AAPL,275.3137
2025-11-25,AAPL,277.9957
2025-11-26,AAPL,278.0461
2025-11-28,AAPL,277.63
2025-12-01,AAPL,281.0716
2025-12-02,AAPL,285.5942
2025-12-03,AAPL,285.5332
2025-12-04,AAPL,280.7565
2025-12-05,AAPL,279.1557
2025-12-08,AAPL,277.5384
2025-12-09,AAPL,277.8192
2025-12-10,AAPL,278.4798
2025-12-11,AAPL,277.1757
2025-12-12,AAPL,278.2466
2025-12-15,AAPL,274.5069
2025-12-16,AAPL,273.8761
2025-12-17,AAPL,272.9914
2025-12-18,AAPL,271.3364
2025-12-19,AAPL,272.8455
2025-12-22,AAPL,271.5771
2025-12-23,AAPL,271.775
2025-12-24,AAPL,274.2044
2025-12-26,AAPL,274.1252
2025-12-29,AAPL,273.6175
2025-12-30,AAPL,273.0453
2025-12-31,AAPL,272.2992
