date,ticker,price
2025-01-02,AAPL,244.3303
2025-01-03,AAPL,243.0805
2025-01-06,AAPL,245.1726
2025-01-07,AAPL,242.9459
2025-01-08,AAPL,242.2995
2025-01-10,AAPL,236.6061
2025-01-13,AAPL,232.7529
2025-01-14,AAPL,233.8731
2025-01-15,AAPL,237.58
2025-01-16,AAPL,230.4965
2025-01-17,AAPL,230.4569
2025-01-21,AAPL,221.6956
2025-01-22,AAPL,222.8221
2025-01-23,AAPL,224.1093
2025-01-24,AAPL,223.1447
2025-01-27,AAPL,228.8379
2025-01-28,AAPL,237.4845
2025-01-29,AAPL,237.4856
2025-01-30,AAPL,238.9601
2025-01-31,AAPL,238.5565
2025-02-03,AAPL,228.3039
2025-02-04,AAPL,231.2105
2025-02-05,AAPL,230.8247
2025-02-06,AAPL,232.404
2025-02-07,AAPL,229.1297
2025-02-10,AAPL,228.4505
2025-02-11,AAPL,232.4502
2025-02-12,AAPL,235.0413
2025-02-13,AAPL,240.3233
2025-02-14,AAPL,244.0539
2025-02-18,AAPL,244.1423
2025-02-19,AAPL,244.6863
2025-02-20,AAPL,245.6383
2025-02-21,AAPL,246.3756
2025-02-24,AAPL,247.2414
2025-02-25,AAPL,247.4765
2025-02-26,AAPL,241.6568
2025-02-27,AAPL,239.4953
2025-02-28,AAPL,239.5113
2025-03-03,AAPL,239.9029
2025-03-04,AAPL,237.5186
2025-03-05,AAPL,234.0871
2025-03-06,AAPL,235.2933
2025-03-07,AAPL,238.9038
2025-03-10,AAPL,227.6311
2025-03-11,AAPL,221.1802
2025-03-12,AAPL,217.6087
2025-03-13,AAPL,212.0158
2025-03-14,AAPL,212.4529
2025-03-17,AAPL,213.2536
2025-03-18,AAPL,213.0584
2025-03-19,AAPL,215.5599
2025-03-20,AAPL,214.3888
2025-03-21,AAPL,215.9206
2025-03-24,AAPL,220.0734
2025-03-25,AAPL,223.1154
2025-03-26,AAPL,222.5222
2025-03-27,AAPL,223.3729
2025-03-28,AAPL,219.3577
2025-03-31,AAPL,220.6567
2025-04-01,AAPL,222.3361
2025-04-02,AAPL,222.4314
2025-04-03,AAPL,204.1959
2025-04-04,AAPL,192.5546
2025-04-07,AAPL,180.5634
2025-04-08,AAPL,179.0733
2025-04-09,AAPL,187.9539
2025-04-10,AAPL,189.982
2025-04-11,AAPL,195.623
2025-04-14,AAPL,205.5914
2025-04-15,AAPL,202.1396
2025-04-16,AAPL,195.8892
2025-04-17,AAPL,196.8888
2025-04-21,AAPL,192.0767
2025-04-22,AAPL,199.2937
2025-04-23,AAPL,205.3603
2025-04-24,AAPL,207.0889
2025-04-25,AAPL,208.3682
2025-04-28,AAPL,209.6745
2025-04-29,AAPL,210.9585
2025-04-30,AAPL,211.3283
2025-05-01,AAPL,211.8686
2025-05-02,AAPL,204.9131
2025-05-05,AAPL,199.7435
2025-05-06,AAPL,198.8453
2025-05-07,AAPL,195.9883
2025-05-08,AAPL,197.7519
2025-05-09,AAPL,198.6614
2025-05-12,AAPL,209.7114
2025-05-13,AAPL,211.8003
2025-05-14,AAPL,212.2847
2025-05-15,AAPL,211.308
2025-05-16,AAPL,211.25
2025-05-19,AAPL,207.6892
2025-05-20,AAPL,207.0811
2025-05-21,AAPL,203.4576
2025-05-22,AAPL,201.4092
2025-05-23,AAPL,195.8833
2025-05-27,AAPL,199.4808
2025-05-28,AAPL,200.9086
2025-05-29,AAPL,200.5388
2025-05-30,AAPL,199.9641
2025-06-02,AAPL,201.2063
2025-06-03,AAPL,202.8132
2025-06-04,AAPL,203.6276
2025-06-05,AAPL,201.838
2025-06-06,AAPL,204.0682
2025-06-09,AAPL,202.5405
2025-06-10,AAPL,202.5339
2025-06-11,AAPL,200.4652
2025-06-12,AAPL,198.7007
2025-06-13,AAPL,197.0361
2025-06-16,AAPL,197.8895
2025-06-17,AAPL,196.4948
2025-06-18,AAPL,196.4448
2025-06-20,AAPL,199.8096
2025-06-23,AAPL,201.1824
2025-06-24,AAPL,201.4391
2025-06-25,AAPL,201.7923
2025-06-26,AAPL,200.6328
2025-06-27,AAPL,201.4224
2025-06-30,AAPL,203.3565
2025-07-01,AAPL,208.176
2025-07-02,AAPL,211.7489
2025-07-03,AAPL,213.5582
2025-07-07,AAPL,211.1605
2025-07-08,AAPL,209.9116
2025-07-09,AAPL,209.5626
2025-07-10,AAPL,212.2489
2025-07-11,AAPL,211.0285
2025-07-14,AAPL,208.7627
2025-07-15,AAPL,210.0604
2025-07-16,AAPL,210.3633
2025-07-17,AAPL,210.5606
2025-07-18,AAPL,210.8567
2025-07-21,AAPL,213.3495
2025-07-22,AAPL,213.6492
2025-07-23,AAPL,213.7982
2025-07-24,AAPL,214.3924
2025-07-25,AAPL,214.1284
2025-07-28,AAPL,214.04
2025-07-29,AAPL,212.1244
2025-07-30,AAPL,209.5067
2025-07-31,AAPL,208.9948
2025-08-01,AAPL,204.507
2025-08-04,AAPL,204.2151
2025-08-05,AAPL,203.548
2025-08-06,AAPL,212.8573
2025-08-07,AAPL,219.3267
2025-08-08,AAPL,227.3071
2025-08-11,AAPL,227.323
2025-08-12,AAPL,229.3355
2025-08-13,AAPL,232.7762
2025-08-14,AAPL,232.7455
2025-08-15,AAPL,231.5464
2025-08-18,AAPL,231.1904
2025-08-19,AAPL,230.8466
2025-08-20,AAPL,226.7667
2025-08-21,AAPL,224.9952
2025-08-22,AAPL,227.764
2025-08-25,AAPL,227.9958
2025-08-26,AAPL,228.1997
2025-08-27,AAPL,230.023
2025-08-28,AAPL,232.0548
2025-08-29,AAPL,232.321
2025-09-02,AAPL,229.9932
2025-09-03,AAPL,237.0292
2025-09-04,AAPL,238.5031
2025-09-05,AAPL,239.6771
2025-09-08,AAPL,238.2065
2025-09-09,AAPL,235.5793
2025-09-10,AAPL,227.7892
2025-09-11,AAPL,229.1184
2025-09-12,AAPL,233.1344
2025-09-15,AAPL,236.3383
2025-09-16,AAPL,238.8414
2025-09-17,AAPL,239.2054
2025-09-18,AAPL,238.0573
2025-09-19,AAPL,244.4678
2025-09-22,AAPL,253.7951
2025-09-23,AAPL,255.1677
2025-09-24,AAPL,252.2784
2025-09-25,AAPL,254.8219
2025-09-26,AAPL,255.458
2025-09-29,AAPL,254.0231
2025-09-30,AAPL,254.539
2025-10-01,AAPL,256.004
2025-10-02,AAPL,256.855
2025-10-03,AAPL,257.8596
2025-10-06,AAPL,256.8692
2025-10-07,AAPL,256.4092
2025-10-08,AAPL,257.8119
2025-10-09,AAPL,254.5102
2025-10-10,AAPL,248.3661
2025-10-13,AAPL,247.9036
2025-10-14,AAPL,247.3488
2025-10-15,AAPL,249.5813
2025-10-16,AAPL,247.354
2025-10-17,AAPL,250.7598
2025-10-20,AAPL,261.7003
2025-10-21,AAPL,263.4176
2025-10-22,AAPL,258.6829
2025-10-23,AAPL,259.577
2025-10-24,AAPL,262.539
2025-10-27,AAPL,267.0053
2025-10-28,AAPL,268.9865
2025-10-29,AAPL,269.5125
2025-10-30,AAPL,272.2528
